"Shipment Date","Matching Fields","Consignee","Consignee Full Address","Consignee Email 1","Consignee Phone 1","Consignee Website 1","Consignee Profile","Consignee Trade Roles","Shipper","Shipper Full Address","Shipper Email 1","Shipper Phone 1","Shipper Website 1","Shipper Profile","Shipper Trade Roles","Notify Party","HS Code","Goods Shipped","Volume (TEU)","Gross Weight (kg)"
"2021-04-30","Consignee; Consignee (Original Format)","Dow Group","Dg. 92 #17a-42 PISO 7, Bogotá, Colombia","","","","https://panjiva.com/Dow-Group/63405063","Wholesale","Rohm And Haas Quimica Ltda","AVENIDA PRES HUMBERTO A C B 3200 RIO A BAIXO - JACAREI - SP - 12321150","","","","https://panjiva.com/Rohm-And-Haas-Quimica-Ltda/39278721","Manufacturer","DOW","39039090","1 X 20 CONTAINERS CONTAINING 18 PALLET OF ROPAQUE TM ULTRA OPAQUE POLYMER","1","18900"
"2021-04-30","Consignee","Upl Costa Rica Sociedad Anonima","Del puente del rio Virilla, 100m Norte, 400m Oeste. A mano derecha, Calle Potrerillos, Provincia de Alajuela, San Rafael, Costa Rica","","","","https://panjiva.com/Upl-Costa-Rica-Sociedad-Anonima/33370361","","Cargill Agricola Sa","Rua Will Cargill, 880 - Distrito Industrial, Uberlândia - MG, 38402-350, Brazil","","","","https://panjiva.com/Cargill-Agricola-SA/38551696","Manufacturer","UL COSTA RICA SCC SA","35051000","1 X 40 CONTAINERS CONTAINING 18 PALLET OF AMIDO STABTEX SC","2","20380"
"2021-04-30","Consignee","Upl Costa Rica Sociedad Anonima","Del puente del rio Virilla, 100m Norte, 400m Oeste. A mano derecha, Calle Potrerillos, Provincia de Alajuela, San Rafael, Costa Rica","","","","https://panjiva.com/Upl-Costa-Rica-Sociedad-Anonima/33370361","","Cargill Agricola Sa","Rua Will Cargill, 880 - Distrito Industrial, Uberlândia - MG, 38402-350, Brazil","","","","https://panjiva.com/Cargill-Agricola-SA/38551696","Manufacturer","UL COSTA RICA SCC SA","35051000","1 X 40 CONTAINERS CONTAINING 18 PALLET OF AMIDO STABTEX SC","2","20380"
"2021-04-30","Shipper (Original Format); Shipper","Pbb Polisur Srl","Cecilia Grierson 355, C1107 CABA, Argentina","","","","https://panjiva.com/Pbb-Polisur-Srl/62916319","","Dow Brasil Sudeste Industrial Ltda","Via Santos Dumont, 4444 - Jardim Conceicaozinha (Vicente de Carvalho), Guarujá - SP, 11460-902, Brazil","","","","https://panjiva.com/Dow-Brasil-Sudeste-Industrial-Ltda/38003540","Manufacturer","PBB POLISUR SRL","29053200","1 X 20 CONTAINERS CONTAINING 20 PALLET OF PROPYLENE GLYCOL USP EP PLASTIC DRUM","1","19032"
"2021-04-30","Shipper (Original Format); Shipper","Pbb Polisur Srl","Cecilia Grierson 355, C1107 CABA, Argentina","","","","https://panjiva.com/Pbb-Polisur-Srl/62916319","","Dow Brasil Sudeste Industrial Ltda","Via Santos Dumont, 4444 - Jardim Conceicaozinha (Vicente de Carvalho), Guarujá - SP, 11460-902, Brazil","","","","https://panjiva.com/Dow-Brasil-Sudeste-Industrial-Ltda/38003540","Manufacturer","PBB POLISUR SRL","29053200","1 X 20 CONTAINERS CONTAINING 20 PALLET OF PROPYLENE GLYCOL USP EP PLASTIC DRUM","1","19032"
"2021-04-30","Consignee; Consignee (Original Format)","Dow Group","Dg. 92 #17a-42 PISO 7, Bogotá, Colombia","","","","https://panjiva.com/Dow-Group/63405063","Wholesale","Rohm And Haas Quimica Ltda","AVENIDA PRES HUMBERTO A C B 3200 RIO A BAIXO - JACAREI - SP - 12321150","","","","https://panjiva.com/Rohm-And-Haas-Quimica-Ltda/39278721","Manufacturer","DOW","39039090","1 X 20 CONTAINERS CONTAINING 18 PALLET OF ROPAQUE TM ULTRA OPAQUE POLYMER","1","18900"
"2021-04-30","Shipper (Original Format); Consignee; Shipper; Consignee (Original Format)","Syngenta Agro Sa","AV DEL LIBERTADOR 1855 - VICENTE LOPEZ - - 0","","","","https://panjiva.com/Syngenta-Agro-SA/36079317","","Syngenta Protecao De Cultivos Ltda","Florida, USA","","","","https://panjiva.com/Syngenta-Protecao-De-Cultivos-Ltda/41673352","","SYNGENTA AGRO SA","38089299","1 X 40 CONTAINERS CONTAINING 25 PALLET OF CORRUGATED PAPER BOXES WITH 12 LITRES EACH ONE 9.900 PLASTIC BOTTLES WITH 1 LITRE EACH ONE INTO 25","2","12535"
"2021-04-30","Consignee; Consignee (Original Format)","Dow Group","Dg. 92 #17a-42 PISO 7, Bogotá, Colombia","","","","https://panjiva.com/Dow-Group/63405063","Wholesale","Rohm And Haas Quimica Ltda","AVENIDA PRES HUMBERTO A C B 3200 RIO A BAIXO - JACAREI - SP - 12321150","","","","https://panjiva.com/Rohm-And-Haas-Quimica-Ltda/39278721","Manufacturer","DOW","35069110","1 X 20 CONTAINERS CONTAINING 11 DRUMS OF ROBOND TM CS 1005 BR","0.16","2323"
"2021-04-30","Consignee; Consignee (Original Format)","Dow Group","Dg. 92 #17a-42 PISO 7, Bogotá, Colombia","","","","https://panjiva.com/Dow-Group/63405063","Wholesale","Rohm And Haas Quimica Ltda","AVENIDA PRES HUMBERTO A C B 3200 RIO A BAIXO - JACAREI - SP - 12321150","","","","https://panjiva.com/Rohm-And-Haas-Quimica-Ltda/39278721","Manufacturer","DOW","15153000","56 DRUMS OF MOR FREE CR 137","0.84","12185"
"2021-04-30","Shipper (Original Format); Consignee; Shipper; Consignee (Original Format)","Dow","Singapore","","","","https://panjiva.com/Dow/87855619","","Dow Brasil Sudeste Industrial Ltda","Via Santos Dumont, 4444 - Jardim Conceicaozinha (Vicente de Carvalho), Guarujá - SP, 11460-902, Brazil","","","","https://panjiva.com/Dow-Brasil-Sudeste-Industrial-Ltda/38003540","Manufacturer","DOW","39072039","1 X 20 CONTAINERS CONTAINING 18 PALLET OF DOWFROTH TM 400","1","18990"
