"Produto","Data","Panjiva","Real"
"DOTP","Jan-20","1.669","1.41"
"DOTP","Feb-20","1.663","1.38"
"DOTP","Mar-20","1.671","1.39"
"DOTP","Apr-20","1.595","1.36"
"DOTP","Jul-20","1.928","1.19"
"DOTP","Sep-20","1.793","1.3"
"DOTP","Nov-20","1.668","1.34"
"DOTP","Jan-21","1.728","1.39"
"DOTP","Feb-21","1.748","1.52"
"DOTP","Mar-21","1.782","1.7"
"DOTP","Apr-21","1.849","2.05"
"DOTP","May-21","2.024","1.87"
"DOTP","Jun-21","2.115","1.71"
"DOTP","Jul-21","2.174","1.87"
"DOTP","Nov-21","2.320","2.06"
"DOTP","Dec-21","2.456","1.96"
"DOTP","Jan-22","2.498","1.86"
"DOTP","Feb-22","2.446","1.7"
"DOTP","May-22","2.504","2.05"
