"Goods Shipped","Gross Weight (t)"
"15 X 20 CONTAINERS CONTAINING 300 BAGS OF 2,4-D ACID TECHN.98 TC 2,4-D ACIDO TECNICO MILENIA BR","277.36"
"4 X 40 CONTAINERS CONTAINING 160 BAGS OF CARBENDAZIM TECNICO MIL CARBENDAZIM 98% TECH","96.48"
"1 X 40 CONTAINERS CONTAINING 40 BAGS OF FLUTRIAFOL TECNICO SINON  FLUTRIAFOL 97% TECH","16.12"
"1 X 40 CONTAINERS CONTAINING 4032 BAGS OF HEXARON WG   AGRICULTURAL HERBICIDE","22.35"
"2 X 20 CONTAINERS CONTAINING 160 DRUMS OF GALIGAN 240 EC  AGRICULTURAL HERBIC IDE","35.24"
"4 X 20 CONTAINERS CONTAINING 320 DRUMS OF GALIGAN 240 EC AGRICULTURAL HERBIC IDE","70.47"
"5 X 40 CONTAINERS CONTAINING 20160 BAGS OF HEXARON WG   AGRICULTURAL HERBICIDE","111.74"
"2 X 20 CONTAINERS CONTAINING 40 PACKAGES OF IMIDACLOPRIDE TECNICO MILE NIA ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID IMIDACLOPRID","20.94"
"1 X 20 CONTAINERS CONTAINING 18 IBCS OF ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID IMIDACLOPRID, BIFENTHRIN","20.61"
"1 X 22 CONTAINERS CONTAINING 80 DRUMS OF TRIMETHYL ORTHOFORMATE TRIMETIL-ORTO-FORMIATO ESTERS TRIMETHYL ORTHOFORMATE","16.76"
"4 X 20 CONTAINERS CONTAINING 4 PACKAGES OF DIMETHYLAMINE, AQUEOUS DIMETHYLAMINE 60%AQUEOUS SOLUTION","76.71"
"1 X 20 CONTAINERS CONTAINING 270 DRUMS OF METIL VANILAMIDA 2-AMINO-2,3- DIMETHYL BUTYRAMIDE,ADB","7.56"
"1 X 20 CONTAINERS CONTAINING 270 DRUMS OF METIL VANILAMIDA 2-AMINO-2,3-DIMETHYL BUTYRAMIDE ADB","7.56"
"1 X 22 CONTAINERS CONTAINING 1 TANK OF DI METHYL SULPHATE D IMETIL SULFATO SULFATO DE DIMETILA DIMETHYL SULPHATE","25"
"4 X 40 CONTAINERS CONTAINING 160 BAGS OF MANCOZEB TECNICO INDOFIL","82.16"
"6 X 20 CONTAINERS CONTAINING 120 BAGS OF 2,4-D ACID TECHN.98 TC 2,4-D ACIDO TECNICO MILENIA BR","111.12"
"4 X 40 CONTAINERS CONTAINING 160 BAGS OF MANCOZEB TECNICO INDOFIL","82.16"
"4 X 40 CONTAINERS CONTAINING 160 BAGS OF MANCOZEB TECNICO INDOFIL","82.16"
"10 X 20 CONTAINERS CONTAINING 800 DRUMS OF CARBAMATE PESTICIDE LIQ UID,TOXIC METHOMYL, NOVALURON","198"
"18 X 20 CONTAINERS CONTAINING 324 IBCS OF ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID IMIDACLOPRID, BIFENTHRIN","370.98"
"1 X 20 CONTAINERS CONTAINING 125 DRUMS OF 2,4-XILIDINA 2,4-XYLIDINE","17.72"
"2 X 20 CONTAINERS CONTAINING 2 TANK OF BASF METHYL FORMATE PURE","39.06"
"8 X 20 CONTAINERS CONTAINING 8 PACKAGES OF DIMETHYLAMINE,AQUEOUS SOLUTION CLOSED CUP DMA60","147.15"
"1 X 20 CONTAINERS CONTAINING 1 TANK OF DMS DI METHYL SULPHATE DIMETIL SU LFATO SULFATO DE DIMETILA DIMETHYL SULPHATE","29.85"
"1 X 20 CONTAINERS CONTAINING 80 DRUMS OF ENVIRONMENTALLY HAZARDOU S SUBSTANCE, LIQUID N.O.S METHYL 2 6 TRIFLUOROMETHYL PYRIDIN OXY METHYL PHENYL ACETATE","20.96"
"6 X 20 CONTAINERS CONTAINING 6 FLEXITANK OF 1 LIQUID BULK CAROMAX 28 BULK METHYLNAPHTHALENE AND POLY CYCLICS","119.98"
"6 X 20 CONTAINERS CONTAINING 120 BAGS OF 2,4-D ACID TECHN.98 TC 2,4-D ACIDO TECNICO MILENIA BR","110.84"
"2 X 20 CONTAINERS CONTAINING 160 DRUMS OF AGRICULTURAL HERBI CIDE","35.24"
"5 X 20 CONTAINERS CONTAINING 90 IBCS OF ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID IMIDACLOPRID, BIFENTHRIN","103.05"
"4 X 40 CONTAINERS CONTAINING 4800 BAGS OF  GLYPHOSATE 72% WG RIDOVER","102.7"
"2 X 20 CONTAINERS CONTAINING 1200 BOXES OF TEBUTHIURON 500 G L","29.52"
"1 X 20 CONTAINERS CONTAINING 600 BOXES OF TEBUTHIURON 500 G L SC","14.76"
"2 X 20 CONTAINERS CONTAINING 160 DRUMS OF CHEMICAL PRODUCT SODIUM METHYLATE 30% METILATO DE SODIO A 30%","35.61"
"5 X 40 CONTAINERS CONTAINING 6000 BAGS OF  GLYPHOSATE 72% WG RIDOVER","128.38"
"7 X 20 CONTAINERS CONTAINING 126 BINS OF ALTAPYNE M-28B TALL OIL OTHER THAN CRUDE","121.63"
"1 X 20 CONTAINERS CONTAINING 1 TANK OF CHEMICAL PRODUCTS METHYL FORMATE PURE PRODUTO QU IMICO METHYL FORMATE","20.32"
"9 X 20 CONTAINERS CONTAINING 9 TANK OF MONOISOPROPILAMINA ISOPROPYLAMINE","133.3"
"1 X 20 CONTAINERS CONTAINING 1 TANK OF DANGEROUS LIQUIDS 3.4-DICLOROFENILISOCIANATO DICHLOROPHENYL ISOCYANATES","25.93"
"6 X 40 CONTAINERS CONTAINING 240 BAGS OF MANCOZEB TECNICO INDOFIL","123.24"
"6 X 40 CONTAINERS CONTAINING 240 BAGS OF MANCOZEB TECNICO INDOFIL","123.24"
"6 X 20 CONTAINERS CONTAINING 6 FLEXITANK OF CAROMAX 28 METHYLNAPHTHALENE CYCLICS","119.72"
"10 X 20 CONTAINERS CONTAINING 200 BAGS OF 2,4-D ACID TECHN.98 TC 2,4-D ACIDO TECNICO MILENIA BR","185.26"
"7 X 40 CONTAINERS CONTAINING 280 BAGS OF MANCOZEB TECNICO INDOFIL","143.78"
"1 X 20 CONTAINERS CONTAINING 2400 CANS OF NIMITZ ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID FLUENSUL","15.78"
"1 X 20 CONTAINERS CONTAINING 3 DRUMS OF METHANESULFONYL CHLORIDE 99.5%MIN","0.78"
"5 X 40 CONTAINERS CONTAINING 20160 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE","111.74"
"1 X 20 CONTAINERS CONTAINING 2400 CANS OF PLASTIC JERRYCAN ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID FLUEN SULFONE","15.78"
"2 X 40 CONTAINERS CONTAINING 62 IBCS OF FOLPET AGRICUR TECNICO ENV IRO NMENTALLY HAZARDOUS SUBSTANCE, SOLID FOLPET","32.46"
"6 X 40 CONTAINERS CONTAINING 230 CASE OF DIUREX TECNICO AGRI CULTURAL HERBICIDE","96.94"
