HS Code,Goods Shipped
29180000,"15 X 20 CONTAINERS CONTAINING 300 BAGS OF 2,4-D ACID TECHN.98 TC 2,4-D ACIDO TECNICO MILENIA BR"
29339959,4 X 40 CONTAINERS CONTAINING 160 BAGS OF CARBENDAZIM TECNICO MIL CARBENDAZIM 98% TECH
29339969,1 X 40 CONTAINERS CONTAINING 40 BAGS OF FLUTRIAFOL TECNICO SINON  FLUTRIAFOL 97% TECH
38089323,1 X 40 CONTAINERS CONTAINING 4032 BAGS OF HEXARON WG   AGRICULTURAL HERBICIDE
38089329,2 X 20 CONTAINERS CONTAINING 160 DRUMS OF GALIGAN 240 EC  AGRICULTURAL HERBIC IDE
38089329,4 X 20 CONTAINERS CONTAINING 320 DRUMS OF GALIGAN 240 EC AGRICULTURAL HERBIC IDE
38089323,5 X 40 CONTAINERS CONTAINING 20160 BAGS OF HEXARON WG   AGRICULTURAL HERBICIDE
29333929,"2 X 20 CONTAINERS CONTAINING 40 PACKAGES OF IMIDACLOPRIDE TECNICO MILE NIA ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID IMIDACLOPRID"
38089199,"1 X 20 CONTAINERS CONTAINING 18 IBCS OF ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID IMIDACLOPRID, BIFENTHRIN"
29159090,1 X 22 CONTAINERS CONTAINING 80 DRUMS OF TRIMETHYL ORTHOFORMATE TRIMETIL-ORTO-FORMIATO ESTERS TRIMETHYL ORTHOFORMATE
29211100,"4 X 20 CONTAINERS CONTAINING 4 PACKAGES OF DIMETHYLAMINE, AQUEOUS DIMETHYLAMINE 60%AQUEOUS SOLUTION"
29241999,"1 X 20 CONTAINERS CONTAINING 270 DRUMS OF METIL VANILAMIDA 2-AMINO-2,3- DIMETHYL BUTYRAMIDE,ADB"
29241999,"1 X 20 CONTAINERS CONTAINING 270 DRUMS OF METIL VANILAMIDA 2-AMINO-2,3-DIMETHYL BUTYRAMIDE ADB"
29209049,1 X 22 CONTAINERS CONTAINING 1 TANK OF DI METHYL SULPHATE D IMETIL SULFATO SULFATO DE DIMETILA DIMETHYL SULPHATE
38249986,4 X 40 CONTAINERS CONTAINING 160 BAGS OF MANCOZEB TECNICO INDOFIL
29180000,"6 X 20 CONTAINERS CONTAINING 120 BAGS OF 2,4-D ACID TECHN.98 TC 2,4-D ACIDO TECNICO MILENIA BR"
38249986,4 X 40 CONTAINERS CONTAINING 160 BAGS OF MANCOZEB TECNICO INDOFIL
38249986,4 X 40 CONTAINERS CONTAINING 160 BAGS OF MANCOZEB TECNICO INDOFIL
38089199,"10 X 20 CONTAINERS CONTAINING 800 DRUMS OF CARBAMATE PESTICIDE LIQ UID,TOXIC METHOMYL, NOVALURON"
38089199,"18 X 20 CONTAINERS CONTAINING 324 IBCS OF ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID IMIDACLOPRID, BIFENTHRIN"
29214921,"1 X 20 CONTAINERS CONTAINING 125 DRUMS OF 2,4-XILIDINA 2,4-XYLIDINE"
29151300,2 X 20 CONTAINERS CONTAINING 2 TANK OF BASF METHYL FORMATE PURE
29211121,"8 X 20 CONTAINERS CONTAINING 8 PACKAGES OF DIMETHYLAMINE,AQUEOUS SOLUTION CLOSED CUP DMA60"
29209049,1 X 20 CONTAINERS CONTAINING 1 TANK OF DMS DI METHYL SULPHATE DIMETIL SU LFATO SULFATO DE DIMETILA DIMETHYL SULPHATE
29333919,"1 X 20 CONTAINERS CONTAINING 80 DRUMS OF ENVIRONMENTALLY HAZARDOU S SUBSTANCE, LIQUID N.O.S METHYL 2 6 TRIFLUOROMETHYL PYRIDIN OXY METHYL PHENYL ACETATE"
27079900,6 X 20 CONTAINERS CONTAINING 6 FLEXITANK OF 1 LIQUID BULK CAROMAX 28 BULK METHYLNAPHTHALENE AND POLY CYCLICS
29180000,"6 X 20 CONTAINERS CONTAINING 120 BAGS OF 2,4-D ACID TECHN.98 TC 2,4-D ACIDO TECNICO MILENIA BR"
38089329,2 X 20 CONTAINERS CONTAINING 160 DRUMS OF AGRICULTURAL HERBI CIDE
38089199,"5 X 20 CONTAINERS CONTAINING 90 IBCS OF ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID IMIDACLOPRID, BIFENTHRIN"
38089324,4 X 40 CONTAINERS CONTAINING 4800 BAGS OF  GLYPHOSATE 72% WG RIDOVER
38089329,2 X 20 CONTAINERS CONTAINING 1200 BOXES OF TEBUTHIURON 500 G L
38089329,1 X 20 CONTAINERS CONTAINING 600 BOXES OF TEBUTHIURON 500 G L SC
38249985,2 X 20 CONTAINERS CONTAINING 160 DRUMS OF CHEMICAL PRODUCT SODIUM METHYLATE 30% METILATO DE SODIO A 30%
38089324,5 X 40 CONTAINERS CONTAINING 6000 BAGS OF  GLYPHOSATE 72% WG RIDOVER
38030000,7 X 20 CONTAINERS CONTAINING 126 BINS OF ALTAPYNE M-28B TALL OIL OTHER THAN CRUDE
29150000,1 X 20 CONTAINERS CONTAINING 1 TANK OF CHEMICAL PRODUCTS METHYL FORMATE PURE PRODUTO QU IMICO METHYL FORMATE
29210000,9 X 20 CONTAINERS CONTAINING 9 TANK OF MONOISOPROPILAMINA ISOPROPYLAMINE
29291030,1 X 20 CONTAINERS CONTAINING 1 TANK OF DANGEROUS LIQUIDS 3.4-DICLOROFENILISOCIANATO DICHLOROPHENYL ISOCYANATES
38249986,6 X 40 CONTAINERS CONTAINING 240 BAGS OF MANCOZEB TECNICO INDOFIL
38249986,6 X 40 CONTAINERS CONTAINING 240 BAGS OF MANCOZEB TECNICO INDOFIL
27079900,6 X 20 CONTAINERS CONTAINING 6 FLEXITANK OF CAROMAX 28 METHYLNAPHTHALENE CYCLICS
29180000,"10 X 20 CONTAINERS CONTAINING 200 BAGS OF 2,4-D ACID TECHN.98 TC 2,4-D ACIDO TECNICO MILENIA BR"
38249986,7 X 40 CONTAINERS CONTAINING 280 BAGS OF MANCOZEB TECNICO INDOFIL
38089990,"1 X 20 CONTAINERS CONTAINING 2400 CANS OF NIMITZ ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID FLUENSUL"
29049990,1 X 20 CONTAINERS CONTAINING 3 DRUMS OF METHANESULFONYL CHLORIDE 99.5%MIN
38089323,5 X 40 CONTAINERS CONTAINING 20160 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE
38089995,"1 X 20 CONTAINERS CONTAINING 2400 CANS OF PLASTIC JERRYCAN ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID FLUEN SULFONE"
29309099,"2 X 40 CONTAINERS CONTAINING 62 IBCS OF FOLPET AGRICUR TECNICO ENV IRO NMENTALLY HAZARDOUS SUBSTANCE, SOLID FOLPET"
29242120,6 X 40 CONTAINERS CONTAINING 230 CASE OF DIUREX TECNICO AGRI CULTURAL HERBICIDE
29333919,"2 X 20 CONTAINERS CONTAINING 160 DRUMS OF  ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID, (METHYL [2-({[6- (TRIFLUOROMETHYL) PYRIDIN-2-YL] OXY} METHYL) PHENYL]"
29159090,1 X 20 CONTAINERS CONTAINING 80 DRUMS OF TRIMETHYL ORTHOFORMATE TRIMETIL-ORTO-FORMIATO
29180000,12 X 20 CONTAINERS CONTAINING 240 BAGS OF 4-D ACID
27079900,6 X 20 CONTAINERS CONTAINING 6 FLEXITANK OF CAROMAX 28 METHYLNAPHTHALENE AND POLY CYCLICS
38089199,"2 X 20 CONTAINERS CONTAINING 160 DRUMS OF RIMON SUPRA ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID NOVALURON"
