"Date","Consignatario","Expedidor","Origen del envío","Destino del envío","Código HS","Mercancías enviadas","Goods Shipped","Gross Weight (kg)","Gross Weight (t)","Valor de las mercancías (USD)"
"2021-01-31","Syngenta Protecao De Cultivos Ltda","Shanghai Freemen","SHANGHAI","SANTOS","29359099","3 X 20 CONTAINERS CONTAINING 3 TANK OF FOMESAFEN 48% AQUEOUS SOLUTION","","58200","58.2","1621000"
"2021-01-31","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF DOWLEX NG2049B BG","","110160","110.16","7656000"
"2021-01-31","Albaugh Agro Brasil Ltda","Hailir Pesticides & Chemicals Group Co., Ltd.","SHANGHAI","SANTOS","38089199","1 X 40 CONTAINERS CONTAINING 1440 CARTONS OF IMIDACLOPRID 70% WDG","","19440","19.44","87000"
"2021-01-31","Upl Do Brasil Ind E Com De Insumos Agropecuarios Sa","Nantong Jinling Agrochemical Co., Ltd.","SHANGHAI","SANTOS","29330000","2 X 40 CONTAINERS CONTAINING 80 CASE OF MEPIQUAT CHLORIDE TECNICO","","36320","36.32","437000"
"2021-01-31","Syngenta Protecao De Cultivos Ltda","Jiangshan Agrochemical & Chemicals Singapore Pte., Ltd.","SHANGHAI","SANTOS","29313912","10 X 40 CONTAINERS CONTAINING 300 BAGS OF GLYPHOSATE TECH. 95% MIN.(PMG TECNICO)","","241050","241.05","1158000"
"2021-01-31","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF HDPE NG 7000 H BG","","110160","110.16","7656000"
"2021-01-31","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF HDPE NG 7000 H BG","","110160","110.16","7656000"
"2021-01-31","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF HDPE LP 8000 HD","","110160","110.16","7656000"
"2021-01-31","Upl Do Brasil Industria & Comercio De Insumos Agropecuarios Sa","Volcano Agroscience (Pty) ) Ltd.","DURBAN","SANTOS","38080000","3 X 40 CONTAINERS CONTAINING 2942 DRUMS OF TRICLON","","72663","72.66","1362000"
"2021-01-31","Sumitomo Chemical Brasil Industria Quimica Sa","Nufarm Chemical Shanghai Co., Ltd.","SHANGHAI","PECEM","29322000","1 X 20 CONTAINERS CONTAINING 240 DRUMS OF ABAMECTIN TECNICO 95% PESTICIDE, SOLID, TOXIC, N.O.S","","6720","6.72","132000"
"2021-01-31","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF HDPE 35060L","","110160","110.16","7656000"
"2021-01-31","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF ELITE NG 5401B BG","","110160","110.16","7656000"
"2021-01-31","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF DOWLEX GM 8051 BG","","110160","110.16","7656000"
